county	town	latitude	longitude
Berkshire	North Adams	42.6844	-73.1166
Bristol	North Attleborough	NA	NA
Worcester	North Brookfield	42.27	-72.08
Hampshire	Northampton	42.3266	-72.6745
Worcester	Northborough	42.31	-71.65
Worcester	Northbridge	NA	NA
Franklin	Northfield	42.71	-72.44
Dukes	Oak Bluffs	41.4551	-70.5657
Worcester	Oakham	NA	NA
Franklin	Orange	42.6	-72.3
Barnstable	Orleans	41.79	-70
Berkshire	Otis	NA	NA
Worcester	Oxford	42.12	-71.87
Hampden	Palmer	42.19	-72.31
Worcester	Paxton	NA	NA
Hampshire	Pelham	NA	NA
Berkshire	Peru	NA	NA
Worcester	Petersham	42.49	-72.19
Worcester	Phillipston	NA	NA
Berkshire	Pittsfield	42.4517	-73.2605
Hampshire	Plainfield	NA	NA
Worcester	Princeton	NA	NA
Barnstable	Provincetown	42.05	-70.18
Bristol	Rehoboth	NA	NA
Berkshire	Richmond	NA	NA
Plymouth	Rochester	NA	NA
Franklin	Rowe	NA	NA
Worcester	Royalston	NA	NA
Hampden	Russell	42.2	-72.86
Worcester	Rutland	42.36	-71.96
Berkshire	Sandisfield	NA	NA
Barnstable	Sandwich	41.76	-70.5
Berkshire	Savoy	NA	NA
Bristol	Seekonk	NA	NA
Berkshire	Sheffield	NA	NA
Franklin	Shelburne	NA	NA
Worcester	Shrewsbury	NA	NA
Franklin	Shutesbury	NA	NA
Bristol	Somerset	41.74	-71.16
Hampshire	South Hadley	NA	NA
Hampshire	Southampton	NA	NA
Worcester	Southbridge	NA	NA
Hampden	Southwick	NA	NA
Worcester	Spencer	42.25	-71.99
Hampden	Springfield	42.1155	-72.5395
Worcester	Sterling	NA	NA
Berkshire	Stockbridge	NA	NA
Worcester	Sturbridge	42.1	-72.06
Franklin	Sunderland	NA	NA
Worcester	Sutton	NA	NA
Bristol	Swansea	NA	NA
Worcester	Templeton	NA	NA
Dukes	Tisbury	NA	NA
Hampden	Tolland	NA	NA
Barnstable	Truro	NA	NA
Berkshire	Tyringham	NA	NA
Worcester	Upton	42.18	-71.61
Worcester	Uxbridge	NA	NA
Hampden	Wales	NA	NA
Hampshire	Ware	42.25	-72.25
Plymouth	Wareham	41.7498	-70.7207
Worcester	Warren	42.22	-72.19
Franklin	Warwick	NA	NA
Berkshire	Washington	NA	NA
Worcester	Webster	42.04	-71.87
Barnstable	Wellfleet	NA	NA
Franklin	Wendell	NA	NA
Worcester	West Boylston	NA	NA
Worcester	West Brookfield	42.24	-72.15
Hampden	West Springfield	42.13	-72.65
Berkshire	West Stockbridge	NA	NA
Dukes	West Tisbury	NA	NA
Worcester	Westborough	42.27	-71.62
Hampden	Westfield	42.1382	-72.7561
Hampshire	Westhampton	NA	NA
Worcester	Westminster	NA	NA
Bristol	Westport	NA	NA
Franklin	Whately	NA	NA
Hampden	Wilbraham	42.13	-72.43
Hampshire	Williamsburg	NA	NA
Berkshire	Williamstown	42.71	-73.2
Worcester	Winchendon	42.68	-72.04
Berkshire	Windsor	NA	NA
Worcester	Worcester	42.2705	-71.8079
Hampshire	Worthington	NA	NA
Barnstable	Yarmouth	NA	NA
